City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonets,60.9847,32.9698,12.03,87,4,2.0,RU,1720575089
1,bethel,41.3712,-73.414,26.62,78,97,1.46,US,1720575090
2,gadzhiyevo,69.2551,33.3362,9.79,79,100,3.09,RU,1720575092
3,ribeira grande,38.5167,-28.7,22.65,87,67,0.45,PT,1720575093
4,tura,25.5198,90.2201,25.39,96,100,3.52,IN,1720575095
5,carnarvon,-24.8667,113.6333,22.13,81,21,5.81,AU,1720575096
6,ushuaia,-54.8,-68.3,3.81,75,40,16.46,AR,1720575097
7,keflavik,64.0049,-22.5624,10.24,93,0,4.63,IS,1720575099
8,west island,-12.1568,96.8225,27.99,89,20,2.57,CC,1720575100
9,grytviken,-54.2811,-36.5092,-1.23,91,99,5.7,GS,1720575101
10,udachny,66.4167,112.4,24.03,50,92,5.04,RU,1720575103
11,puerto ayora,-0.7393,-90.3518,20.86,100,50,3.24,EC,1720575104
12,aykhal,66.0,111.5,16.81,83,100,3.99,RU,1720575105
13,port-aux-francais,-49.35,70.2167,4.57,90,99,12.33,TF,1720575106
14,buka,40.8108,69.1986,26.31,33,3,1.0,UZ,1720575108
15,albany,42.6001,-73.9662,27.71,75,99,1.63,US,1720574934
16,blackmans bay,-43.0167,147.3167,12.63,96,100,3.31,AU,1720575111
17,isafjordur,66.0755,-23.124,6.75,86,90,4.7,IS,1720575112
18,tomatlan,19.9333,-105.25,25.5,91,100,0.55,MX,1720575113
19,tiksi,71.6872,128.8694,15.42,49,75,1.5,RU,1720575115
20,edinburgh of the seven seas,-37.0676,-12.3116,10.61,76,62,17.34,SH,1720575116
21,nar'yan-mar,67.6713,53.087,14.67,96,100,3.75,RU,1720575117
22,olonkinbyen,70.9221,-8.7187,3.7,91,100,8.83,SJ,1720575119
23,iqaluit,63.7506,-68.5145,5.85,86,75,1.54,CA,1720575120
24,taishan,22.2514,112.7799,31.61,66,28,3.26,CN,1720575121
25,bilibino,68.0546,166.4372,19.24,33,13,6.72,RU,1720575122
26,dickinson,29.4608,-95.0513,31.74,83,20,2.57,US,1720575124
27,nagqu,31.5,92.0,10.35,74,100,2.02,CN,1720575125
28,praia da vitoria,38.7333,-27.0667,23.14,83,20,4.39,PT,1720575126
29,al hada,21.3675,40.2869,23.66,23,73,1.57,SA,1720575128
30,adamstown,-25.066,-130.1015,19.98,59,100,4.46,PN,1720575129
31,undurkhaan,47.3194,110.6556,25.01,48,79,1.81,MN,1720575130
32,port alfred,-33.5906,26.891,15.66,57,77,3.13,ZA,1720575132
33,utrik,11.2278,169.8474,27.8,71,4,7.06,MH,1720575133
34,invercargill,-46.4,168.35,8.34,83,100,0.89,NZ,1720574889
35,hermanus,-34.4187,19.2345,13.78,83,100,10.06,ZA,1720575136
36,juneau,58.3019,-134.4197,16.0,86,100,0.0,US,1720574918
37,port mathurin,-19.6833,63.4167,22.16,62,8,6.45,MU,1720575139
38,waitangi,-43.9535,-176.5597,8.79,83,100,3.58,NZ,1720575140
39,lihue,21.9789,-159.3672,28.77,66,40,6.69,US,1720575141
40,mount pearl,47.5166,-52.7813,18.19,94,75,4.63,CA,1720575143
41,lata,40.1629,-8.3327,20.51,85,99,1.4,PT,1720575144
42,sola,-13.8833,167.55,25.96,79,81,11.28,VU,1720575145
43,gardnerville ranchos,38.8882,-119.7413,35.11,14,0,6.69,US,1720575147
44,sitka,57.0531,-135.33,12.94,88,100,2.06,US,1720575148
45,coquimbo,-29.9533,-71.3436,10.85,81,100,1.54,CL,1720574976
46,papatowai,-46.5619,169.4708,10.5,70,100,2.69,NZ,1720575154
47,la passe,45.5549,-0.8967,18.88,94,89,3.38,FR,1720575155
48,enewetak,11.3474,162.3373,28.83,74,3,7.25,MH,1720575156
49,khanty-mansiysk,61.0042,69.0019,22.06,78,0,0.0,RU,1720575158
50,college,64.8569,-147.8028,15.6,86,100,2.57,US,1720575159
51,puerto baquerizo moreno,-0.9,-89.6,21.48,84,100,3.55,EC,1720575160
52,quiberon,47.4841,-3.1196,16.78,85,100,4.76,FR,1720575162
53,yulinshi,38.2906,109.7494,28.38,47,100,3.83,CN,1720575163
54,hotan,37.0997,79.9269,28.57,24,5,2.07,CN,1720575164
55,kendari,-3.945,122.4989,27.98,71,100,1.15,ID,1720575166
56,portland,45.5234,-122.6762,39.42,26,75,6.17,US,1720574864
57,port elizabeth,-33.918,25.5701,13.39,82,40,9.26,ZA,1720574989
58,camana,-16.6228,-72.7111,14.96,91,100,4.23,PE,1720575169
59,kingston,17.997,-76.7936,30.53,70,20,6.69,JM,1720575087
60,wailua homesteads,22.0669,-159.378,28.44,69,40,6.69,US,1720575172
61,puerto natales,-51.7236,-72.4875,4.15,91,100,4.59,CL,1720575173
62,colon,9.3592,-79.9014,26.31,89,100,0.45,PA,1720575175
63,am timan,11.0297,20.2827,22.36,88,100,0.12,TD,1720575176
64,yellowknife,62.456,-114.3525,23.56,69,75,1.03,CA,1720575177
65,karratha,-20.7377,116.8463,25.63,30,13,2.66,AU,1720575179
66,along,28.1667,94.7667,22.06,100,100,0.71,IN,1720575180
67,chernyshevskiy,63.0128,112.4714,24.22,48,61,3.56,RU,1720575181
68,nikolayevsk-on-amure,53.1406,140.73,10.9,98,100,1.47,RU,1720575183
69,micheweni,-4.9667,39.8333,24.46,84,85,5.21,TZ,1720575184
70,abeche,13.8292,20.8324,26.75,59,100,3.25,TD,1720575185
71,stanley,54.868,-1.6985,13.49,97,75,2.06,GB,1720575187
72,vilyuysk,63.7553,121.6247,27.22,39,3,1.66,RU,1720575188
73,lompoc,34.6391,-120.4579,18.07,81,0,5.14,US,1720575189
74,qaqortoq,60.7167,-46.0333,4.66,99,100,2.48,GL,1720575191
75,pathein,16.7833,94.7333,28.89,75,100,2.89,MM,1720575192
76,ke-macina,13.9623,-5.3572,28.75,63,24,3.89,ML,1720575193
